Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Latin America & Caribbean,LCN,612849401,618868462,624737786,630414986,635778081,640962372,645497651,649234493,653104795,657617663,662185950
Least developed countries: UN classification,LDC,940284138,962508256,985414939,1008993468,1033110314,1058013514,1083636132,1109175268,1134585604,1160824674,1187777591
Low income,LIC,476470767,488308267,501149314,514890519,529522043,544980983,560643073,576076618,591481496,607774703,624608098
Liechtenstein,LIE,37248,37494,37716,37962,38246,38563,38901,39182,39493,39850,40197
Sri Lanka,LKA,20778000,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000
Lower middle income,LMC,2723061855,2765011526,2806590212,2847931114,2888561818,2928617292,2968398856,3006243027,3043358377,3082002881,3120983658
Low & middle income,LMY,5865317415,5941372154,6017298320,6094196886,6169917356,6243849229,6314223170,6378645843,6438272260,6499219471,6563719861
Lesotho,LSO,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
Late-demographic dividend,LTE,2241237489,2256276122,2271028438,2286095306,2298652685,2309164437,2316461820,2320449542,2324125644,2326636900,2328890789
Lithuania,LTU,2937253,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888055
Luxembourg,LUX,556319,569604,582014,596336,607950,620001,630419,640064,653103,666430,677717
Latvia,LVA,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,1862441
"Macao SAR, China",MAC,621700,642900,652500,648400,658900,672000,685400,682500,677300,678800,687000
St. Martin (French part),MAF,37450,37369,37175,36837,36012,34267,31786,29961,28870,27515,26129
Morocco,MAR,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173
Monaco,MCO,36128,36757,37276,37678,38154,38109,38050,38527,38931,38956,38631
Moldova,MDA,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2389275
Madagascar,MDG,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
Maldives,MDV,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799
"Middle East, North Africa, Afghanistan & Pakistan",MEA,680716578,694232973,707023525,718887744,730362334,742714463,756405281,767578451,782349366,797801454,813118814
Mexico,MEX,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007
Marshall Islands,MHL,49796,48800,47709,46529,45285,44007,42706,41367,40077,38827,37548
Middle income,MIC,5388846648,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097,5802569225,5846790764,5891444768,5939111763
North Macedonia,MKD,1917557,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816,1792179
Mali,MLI,18020267,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595
Malta,MLT,433481,444220,454505,467106,483903,503912,515490,518150,531113,552747,574346
Myanmar,MMR,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,624564062,635352686,645837915,656767614,668447432,680490997,692532027,704458802,716508657,729077445,741690916
Montenegro,MNE,623744,624651,625353,625982,626438,626753,626590,625053,623591,623529,623831
Mongolia,MNG,2963113,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145,3524788
Northern Mariana Islands,MNP,52178,51514,50773,49959,49077,48129,47528,46979,46078,45143,44278
Mozambique,MOZ,25788475,26547572,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766
Mauritania,MRT,3848514,3965959,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441,5169395
Mauritius,MUS,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041,1259509
Malawi,MWI,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286
Malaysia,MYS,30696137,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298,35557673
North America,NAC,354755155,357583083,360527592,363217262,365666028,367908829,369670740,370404272,373018004,376954413,381464223
Namibia,NAM,2312139,2374300,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095,3030131
New Caledonia,NCL,281224,283168,283423,283546,283541,283606,284176,285214,287123,289870,292639
Niger,NER,19215909,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412
Nigeria,NGA,185896915,190671878,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,232679478
Nicaragua,NIC,6066492,6149417,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613,6916140
Netherlands,NLD,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117,17994237
Norway,NOR,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594,5572272
Nepal,NPL,27672370,27823629,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614,29651054
Nauru,NRU,10742,10954,11150,11324,11477,11587,11643,11709,11801,11875,11947
New Zealand,NZL,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111300,5117100,5245000,5338500
OECD members,OED,1323459714,1331675197,1340142055,1348127258,1356470975,1364155119,1369327995,1371811773,1379097485,1388472514,1396914190
Oman,OMN,4002439,4184895,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269,5281538
Other small states,OSS,11591200,11722398,11851918,11989367,12135267,12281907,12417333,12541889,12699005,12842214,12969162
Pakistan,PAK,214264647,217290883,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
Panama,PAN,3892101,3960035,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759,4515577
Peru,PER,30115826,30457600,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617,34217848
Philippines,PHL,103767130,105312992,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199,115843670
Palau,PLW,17715,17770,17797,17812,17814,17798,17792,17783,17759,17727,17695
Papua New Guinea,PNG,8523441,8743246,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635,10576502
Poland,POL,38011735,37986412,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353,36554707
Pre-demographic dividend,PRE,846420736,870587800,895239872,920568701,946317177,972302503,998624261,1024960313,1051201551,1078224044,1105951788
Puerto Rico (US),PRI,3585017,3535167,3480432,3410837,3290690,3302691,3281590,3262711,3220137,3203792,3203295
"Korea, Dem. People's Rep.",PRK,25451262,25575350,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204,26498823
Portugal,PRT,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174,10701636
Paraguay,PRY,6069811,6159103,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146,6929153
West Bank and Gaza,PSE,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775,5289152
Pacific island small states,PSS,2414338,2445989,2477794,2509999,2542009,2568656,2595522,2625493,2656049,2689224,2722467
Post-demographic dividend,PST,1093025476,1097890139,1102966925,1107161559,1111377470,1114907717,1117025276,1116609473,1117926537,1121892872,1128430188
French Polynesia,PYF,276387,277866,279178,280087,279815,279034,279209,279792,280378,281118,281807
Qatar,QAT,2151745,2344557,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822
Romania,ROU,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19059479,19069340
Russian Federation,RUS,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,143533851
Rwanda,RWA,11364757,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567
South Asia,SAS,1519839246,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579,1677384532
Saudi Arabia,SAU,28309273,29816382,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731,35300280
Sudan,SDN,38823318,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791,50448963
Senegal,SEN,14152102,14593331,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,18501984
Singapore,SGP,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,6036860
Solomon Islands,SLB,616908,639415,662379,685672,709101,728147,744498,762591,781066,800005,819198
Sierra Leone,SLE,6876385,7037655,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642022
El Salvador,SLV,6162955,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193
San Marino,SMR,32655,32897,33101,33825,34522,34663,34770,34252,33755,33860,33977
"Somalia, Fed. Rep.",SOM,13339491,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,19009151
Serbia,SRB,7131787,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183,6587202
Sub-Saharan Africa (excluding high income),SSA,896754068,921290560,946011305,971179323,997236086,1023480610,1049999318,1076774079,1103704408,1131090888,1158877573
South Sudan,SSD,11235073,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,11943408
Sub-Saharan Africa,SSF,997961037,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353,1291058694
Small states,SST,18292084,18482578,18671045,18865506,19084934,19293697,19472157,19646549,19852364,20051342,20230689
Sao Tome and Principe,STP,196767,200291,203689,206970,210187,213392,217435,221961,226305,230871,235536
Suriname,SUR,575373,581627,587757,593713,599513,605768,612317,617896,623164,628886,634431
Slovak Republic,SVK,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069
Slovenia,SVN,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461,2126324
Sweden,SWE,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,10569709
Eswatini,SWZ,1136299,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822
Sint Maarten (Dutch part),SXM,36672,37471,38249,38996,39712,40385,41008,41571,42139,42749,43350
Seychelles,SYC,91359,93419,94677,95843,96762,97625,98462,99258,119878,119773,121354
Syrian Arab Republic,SYR,20273659,19424618,19193834,19224668,19577845,20353534,21049429,21628839,22462173,23594623,24672760
Turks and Caicos Islands,TCA,35050,36605,38315,39913,41559,43166,44386,45243,45847,46198,46535
Chad,TCD,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123
East Asia & Pacific (IDA & IBRD countries),TEA,2014960984,2030504270,2045816761,2061449949,2074796982,2086281644,2095759417,2102350702,2107261123,2111139152,2114653077
Europe & Central Asia (IDA & IBRD countries),TEC,451547765,453811483,456099634,458235497,460205526,462219596,463151657,463426293,461268322,458932506,459954508
Togo,TGO,7472450,7663195,7858289,8057140,8258778,8463068,8669720,8878379,9089738,9304337,9515236
Thailand,THA,70216367,70540795,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435,71668011
Tajikistan,TJK,8425552,8643840,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799,10590927
Turkmenistan,TKM,6075283,6215770,6360041,6507061,6655524,6803944,6949912,7092043,7230193,7364438,7494498
Latin America & the Caribbean (IDA & IBRD countries),TLA,597023419,603091701,609017063,614776664,620274430,625467307,630051021,633862610,637837815,642397939,647003746
Timor-Leste,TLS,1181903,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,1400638
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,620390664,631082594,641470827,652312809,663878345,675805691,687728758,699536053,711465045,723911670,736401764
Tonga,TON,106609,106095,105524,105356,105567,105669,105704,105490,105042,104597,104175
South Asia (IDA & IBRD),TSA,1519839246,1537370078,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579,1677384532
Sub-Saharan Africa (IDA & IBRD countries),TSS,997961037,1025251114,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259902353,1291058694
Trinidad and Tobago,TTO,1345343,1349667,1353895,1356633,1359193,1363985,1366725,1367558,1365805,1367510,1368333
Tunisia,TUN,11274288,11402264,11528674,11650498,11765514,11875081,11974057,12048622,12119334,12200431,12277109
Turkiye,TUR,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85325965,85518661
Tuvalu,TUV,10984,10963,10930,10869,10751,10581,10399,10194,9992,9816,9646
Tanzania,TZA,50351512,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606,68560157
Uganda,UGA,36395539,37531446,38799152,40177388,41565831,42999637,44457152,45910930,47312719,48656601,50015092
Ukraine,UKR,45972380,45784896,45616832,45436041,45208907,44957458,44680014,44298640,41048766,37732836,37860221
Upper middle income,UMC,2665784793,2688052361,2709558794,2731375253,2751833495,2770250954,2785181241,2796326198,2803432387,2809441887,2818128105
Uruguay,URY,3356334,3368017,3379283,3388438,3394534,3397206,3398968,3396695,3390913,3388081,3386588
United States,USA,319257560,321815121,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988
Uzbekistan,UZB,30222994,30749346,31284568,31819178,32373490,32964701,33586372,34243696,34938955,35652307,36361859
St. Vincent and the Grenadines,VCT,107535,106960,106349,105663,104926,104167,103526,102841,102046,101323,100616
"Venezuela, RB",VEN,30254079,30573972,30765720,30565323,29807592,28938098,28444077,28237826,28213017,28300854,28405543
British Virgin Islands,VGB,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985,39471
Virgin Islands (U.S.),VIR,107882,107712,107516,107281,107001,106669,106290,105870,105413,104917,104377
Viet Nam,VNM,91679578,92823254,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,100987686
Vanuatu,VUT,260240,266101,272087,278507,285259,291985,298858,305868,313046,320409,327777
World,WLD,7354183367,7441826877,7529066617,7614748582,7697492379,7778303912,7855075060,7920861888,7990399768,8064976601,8142056446
Samoa,WSM,200037,201782,203499,205415,207582,209780,211944,213779,215261,216663,218019
Kosovo,XKX,1812788,1788274,1777568,1791019,1797086,1788891,1790151,1786079,1768096,1682668,1527324
"Yemen, Rep.",YEM,30226309,31159379,32109010,33090921,34085182,35111408,36134863,37140230,38222876,39390799,40583164
South Africa,ZAF,55594838,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
Zambia,ZMB,15895315,16399089,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,21314956
Zimbabwe,ZWE,14207359,14399013,14600294,14812482,15034452,15271368,15526888,15797210,16069056,16340822,16634373
