Economy,Year,Economy Code,Unemployment with basic education (% of total labor force with basic education)
Afghanistan,2021,AFG,6.034
Albania,2023,ALB,9.694
Algeria,2024,DZA,
American Samoa,2024,ASM,
Andorra,2024,AND,
Angola,2021,AGO,12.224
Antigua and Barbuda,2023,ATG,4.111
Argentina,2024,ARG,2.124
Armenia,2023,ARM,10.270
Aruba,2024,ABW,
Australia,2024,AUS,8.442
Austria,2024,AUT,11.452
Azerbaijan,2022,AZE,12.310
"Bahamas, The",2023,BHS,16.860
Bahrain,2024,BHR,
Bangladesh,2023,BGD,2.707
Barbados,2023,BRB,7.462
Belarus,2023,BLR,10.547
Belgium,2024,BEL,12.623
Belize,2019,BLZ,9.937
Benin,2022,BEN,1.647
Bermuda,2024,BMU,
Bhutan,2024,BTN,2.779
Bolivia,2024,BOL,1.814
Bosnia and Herzegovina,2023,BIH,13.894
Botswana,2024,BWA,26.526
Brazil,2024,BRA,8.988
British Virgin Islands,2024,VGB,
Brunei Darussalam,2023,BRN,6.565
Bulgaria,2024,BGR,13.803
Burkina Faso,2024,BFA,4.749
Burundi,2020,BDI,0.659
Cabo Verde,2019,CPV,10.420
Cambodia,2023,KHM,0.259
Cameroon,2021,CMR,4.434
Canada,2024,CAN,13.758
Cayman Islands,2015,CYM,5.720
Central African Republic,2024,CAF,
Chad,2018,TCD,1.059
Channel Islands,2024,CHI,
Chile,2024,CHL,9.106
China,2024,CHN,
Colombia,2024,COL,8.600
Comoros,2021,COM,4.636
"Congo, Dem. Rep.",2020,COD,1.635
"Congo, Rep.",2024,COG,
Costa Rica,2024,CRI,6.376
Cote d'Ivoire,2022,CIV,2.228
Croatia,2024,HRV,10.958
Cuba,2024,CUB,
Curacao,2020,CUW,25.410
Cyprus,2024,CYP,5.664
Czechia,2024,CZE,12.086
Denmark,2024,DNK,10.716
Djibouti,2017,DJI,34.827
Dominica,2024,DMA,
Dominican Republic,2024,DOM,4.575
Ecuador,2024,ECU,1.554
"Egypt, Arab Rep.",2023,EGY,4.313
El Salvador,2023,SLV,2.485
Equatorial Guinea,2024,GNQ,
Eritrea,2024,ERI,
Estonia,2024,EST,14.744
Eswatini,2023,SWZ,38.256
Ethiopia,2021,ETH,4.539
Faroe Islands,2024,FRO,
Fiji,2024,FJI,3.623
Finland,2024,FIN,20.082
France,2024,FRA,13.238
French Polynesia,2024,PYF,
Gabon,2024,GAB,
"Gambia, The",2023,GMB,6.465
Georgia,2020,GEO,12.860
Germany,2024,DEU,6.957
Ghana,2022,GHA,2.166
Gibraltar,2024,GIB,
Greece,2024,GRC,10.946
Greenland,2024,GRL,
Grenada,2023,GRD,6.726
Guam,2024,GUM,
Guatemala,2023,GTM,2.563
Guinea,2019,GIN,6.005
Guinea-Bissau,2022,GNB,3.515
Guyana,2019,GUY,13.012
Haiti,2024,HTI,
Honduras,2024,HND,4.430
"Hong Kong SAR, China",2024,HKG,3.027
Hungary,2024,HUN,13.726
Iceland,2024,ISL,6.554
India,2024,IND,2.281
Indonesia,2023,IDN,2.051
"Iran, Islamic Rep.",2023,IRN,5.308
Iraq,2021,IRQ,14.662
Ireland,2024,IRL,7.412
Isle of Man,2024,IMN,
Israel,2024,ISR,4.270
Italy,2024,ITA,9.613
Jamaica,2023,JAM,1.389
Japan,2024,JPN,
Jordan,2023,JOR,18.633
Kazakhstan,2017,KAZ,6.700
Kenya,2022,KEN,3.795
Kiribati,2023,KIR,2.603
"Korea, Dem. People's Rep.",2024,PRK,
"Korea, Rep.",2024,KOR,3.324
Kosovo,2023,XKX,20.219
Kuwait,2016,KWT,0.670
Kyrgyz Republic,2018,KGZ,6.450
Lao PDR,2022,LAO,0.940
Latvia,2024,LVA,14.869
Lebanon,2019,LBN,9.544
Lesotho,2024,LSO,18.023
Liberia,2017,LBR,4.612
Libya,2024,LBY,
Liechtenstein,2024,LIE,
Lithuania,2024,LTU,17.263
Luxembourg,2024,LUX,11.306
"Macao SAR, China",2016,MAC,2.280
Madagascar,2015,MDG,1.139
Malawi,2020,MWI,0.703
Malaysia,2022,MYS,3.590
Maldives,2019,MDV,5.182
Mali,2022,MLI,3.181
Malta,2024,MLT,4.150
Marshall Islands,2021,MHL,12.795
Mauritania,2019,MRT,20.068
Mauritius,2023,MUS,5.781
Mexico,2024,MEX,2.261
"Micronesia, Fed. Sts.",2024,FSM,
Moldova,2024,MDA,1.100
Monaco,2016,MCO,8.130
Mongolia,2023,MNG,4.252
Montenegro,2023,MNE,19.236
Morocco,2022,MAR,13.050
Mozambique,2022,MOZ,8.860
Myanmar,2020,MMR,1.161
Namibia,2018,NAM,17.498
Nauru,2021,NRU,5.756
Nepal,2017,NPL,9.809
Netherlands,2024,NLD,5.941
New Caledonia,2022,NCL,21.079
New Zealand,2020,NZL,6.750
Nicaragua,2024,NIC,
Niger,2022,NER,0.795
Nigeria,2024,NGA,1.749
North Macedonia,2024,MKD,19.030
Northern Mariana Islands,2024,MNP,
Norway,2024,NOR,10.008
Oman,2021,OMN,0.370
Pakistan,2021,PAK,5.148
Palau,2020,PLW,1.475
Panama,2024,PAN,6.789
Papua New Guinea,2022,PNG,2.662
Paraguay,2017,PRY,4.990
Peru,2024,PER,3.931
Philippines,2023,PHL,1.892
Poland,2024,POL,4.552
Portugal,2024,PRT,7.176
Puerto Rico,2020,PRI,29.082
Qatar,2021,QAT,0.050
Romania,2024,ROU,14.806
Russian Federation,2024,RUS,6.638
Rwanda,2024,RWA,10.737
Samoa,2022,WSM,5.118
San Marino,2022,SMR,4.120
Sao Tome and Principe,2017,STP,9.802
Saudi Arabia,2024,SAU,0.990
Senegal,2024,SEN,7.817
Serbia,2024,SRB,8.019
Seychelles,2024,SYC,4.014
Sierra Leone,2018,SLE,4.096
Singapore,2024,SGP,2.633
Sint Maarten (Dutch part),2024,SXM,
Slovak Republic,2024,SVK,40.088
Slovenia,2024,SVN,7.980
Solomon Islands,2024,SLB,
Somalia,2019,SOM,19.871
South Africa,2024,ZAF,39.283
South Sudan,2024,SSD,
Spain,2024,ESP,16.503
Sri Lanka,2022,LKA,3.112
St. Kitts and Nevis,2024,KNA,
St. Lucia,2024,LCA,11.950
St. Martin (French part),2024,MAF,
St. Vincent and the Grenadines,2024,VCT,
Sudan,2022,SDN,9.672
Suriname,2016,SUR,9.141
Sweden,2024,SWE,25.732
Switzerland,2024,CHE,8.368
Syrian Arab Republic,2024,SYR,
Tajikistan,2024,TJK,
Tanzania,2020,TZA,1.433
Thailand,2024,THA,0.509
Timor-Leste,2022,TLS,2.064
Togo,2022,TGO,1.738
Tonga,2023,TON,1.621
Trinidad and Tobago,2023,TTO,3.705
Tunisia,2023,TUN,14.236
Turkiye,2024,TUR,7.434
Turkmenistan,2024,TKM,
Turks and Caicos Islands,2024,TCA,
Tuvalu,2022,TUV,11.654
Uganda,2021,UGA,1.548
Ukraine,2021,UKR,11.734
United Arab Emirates,2023,ARE,1.232
United Kingdom,2024,GBR,7.196
United States,2024,USA,6.501
Uruguay,2024,URY,9.789
Uzbekistan,2024,UZB,
Vanuatu,2020,VUT,3.638
"Venezuela, RB",2017,VEN,3.943
Vietnam,2023,VNM,1.253
Virgin Islands (U.S.),2024,VIR,
West Bank and Gaza,2024,PSE,36.677
"Yemen, Rep.",2024,YEM,
Zambia,2023,ZMB,3.688
Zimbabwe,2023,ZWE,8.493