Economy,Year,Economy Code,Unemployment with intermediate education (% of total labor force with intermediate education)
Afghanistan,2021,AFG,9.459
Albania,2023,ALB,12.823
Algeria,2024,DZA,
American Samoa,2024,ASM,
Andorra,2024,AND,
Angola,2021,AGO,29.403
Antigua and Barbuda,2023,ATG,5.738
Argentina,2024,ARG,2.019
Armenia,2023,ARM,8.958
Aruba,2024,ABW,
Australia,2024,AUS,4.283
Austria,2024,AUT,4.703
Azerbaijan,2022,AZE,5.130
"Bahamas, The",2023,BHS,9.774
Bahrain,2024,BHR,
Bangladesh,2023,BGD,4.448
Barbados,2023,BRB,7.434
Belarus,2023,BLR,4.000
Belgium,2024,BEL,6.563
Belize,2019,BLZ,10.102
Benin,2022,BEN,4.622
Bermuda,2024,BMU,
Bhutan,2024,BTN,9.787
Bolivia,2024,BOL,3.340
Bosnia and Herzegovina,2023,BIH,11.003
Botswana,2024,BWA,29.541
Brazil,2024,BRA,7.675
British Virgin Islands,2024,VGB,
Brunei Darussalam,2023,BRN,4.633
Bulgaria,2024,BGR,4.126
Burkina Faso,2024,BFA,11.317
Burundi,2020,BDI,7.009
Cabo Verde,2019,CPV,13.630
Cambodia,2020,KHM,0.340
Cameroon,2021,CMR,11.416
Canada,2024,CAN,8.421
Cayman Islands,2015,CYM,4.820
Central African Republic,2024,CAF,
Chad,2018,TCD,3.471
Channel Islands,2024,CHI,
Chile,2024,CHL,9.673
China,2024,CHN,
Colombia,2024,COL,11.228
Comoros,2021,COM,7.011
"Congo, Dem. Rep.",2020,COD,7.492
"Congo, Rep.",2024,COG,
Costa Rica,2024,CRI,9.535
Cote d'Ivoire,2022,CIV,6.252
Croatia,2024,HRV,5.449
Cuba,2024,CUB,
Curacao,2020,CUW,22.530
Cyprus,2024,CYP,5.818
Czechia,2024,CZE,2.384
Denmark,2024,DNK,5.482
Djibouti,2017,DJI,27.474
Dominica,2024,DMA,
Dominican Republic,2024,DOM,7.316
Ecuador,2024,ECU,5.089
"Egypt, Arab Rep.",2023,EGY,6.085
El Salvador,2023,SLV,4.963
Equatorial Guinea,2024,GNQ,
Eritrea,2024,ERI,
Estonia,2024,EST,8.356
Eswatini,2023,SWZ,25.145
Ethiopia,2021,ETH,7.677
Faroe Islands,2024,FRO,
Fiji,2024,FJI,7.052
Finland,2024,FIN,8.732
France,2024,FRA,8.173
French Polynesia,2024,PYF,
Gabon,2024,GAB,
"Gambia, The",2023,GMB,11.404
Georgia,2020,GEO,11.312
Germany,2024,DEU,2.793
Ghana,2022,GHA,5.999
Gibraltar,2024,GIB,
Greece,2024,GRC,11.790
Greenland,2024,GRL,
Grenada,2023,GRD,7.283
Guam,2024,GUM,
Guatemala,2023,GTM,3.817
Guinea,2019,GIN,18.253
Guinea-Bissau,2022,GNB,7.134
Guyana,2019,GUY,16.096
Haiti,2024,HTI,
Honduras,2024,HND,7.892
"Hong Kong SAR, China",2024,HKG,3.063
Hungary,2024,HUN,4.311
Iceland,2024,ISL,2.737
India,2024,IND,5.870
Indonesia,2023,IDN,5.792
"Iran, Islamic Rep.",2023,IRN,9.142
Iraq,2021,IRQ,13.400
Ireland,2024,IRL,5.033
Isle of Man,2024,IMN,
Israel,2024,ISR,3.152
Italy,2024,ITA,6.356
Jamaica,2023,JAM,4.038
Japan,2020,JPN,3.210
Jordan,2023,JOR,9.055
Kazakhstan,2017,KAZ,5.300
Kenya,2022,KEN,6.500
Kiribati,2023,KIR,3.839
"Korea, Dem. People's Rep.",2024,PRK,
"Korea, Rep.",2024,KOR,2.644
Kosovo,2023,XKX,9.703
Kuwait,2016,KWT,6.080
Kyrgyz Republic,2018,KGZ,6.200
Lao PDR,2022,LAO,1.963
Latvia,2024,LVA,7.953
Lebanon,2019,LBN,12.329
Lesotho,2024,LSO,21.988
Liberia,2017,LBR,11.158
Libya,2024,LBY,
Liechtenstein,2024,LIE,
Lithuania,2024,LTU,9.286
Luxembourg,2024,LUX,7.334
"Macao SAR, China",2016,MAC,1.820
Madagascar,2015,MDG,4.933
Malawi,2020,MWI,2.698
Malaysia,2022,MYS,4.080
Maldives,2019,MDV,4.776
Mali,2022,MLI,7.992
Malta,2024,MLT,3.455
Marshall Islands,2021,MHL,9.449
Mauritania,2019,MRT,13.986
Mauritius,2023,MUS,6.450
Mexico,2024,MEX,3.238
"Micronesia, Fed. Sts.",2024,FSM,
Moldova,2024,MDA,1.200
Monaco,2016,MCO,6.460
Mongolia,2023,MNG,6.564
Montenegro,2020,MNE,18.050
Morocco,2022,MAR,24.960
Mozambique,2022,MOZ,24.241
Myanmar,2020,MMR,0.438
Namibia,2018,NAM,23.942
Nauru,2021,NRU,4.582
Nepal,2017,NPL,14.464
Netherlands,2024,NLD,3.327
New Caledonia,2022,NCL,11.889
New Zealand,2020,NZL,4.930
Nicaragua,2024,NIC,
Niger,2022,NER,4.957
Nigeria,2024,NGA,3.477
North Macedonia,2024,MKD,12.806
Northern Mariana Islands,2024,MNP,
Norway,2024,NOR,2.471
Oman,2021,OMN,3.180
Pakistan,2021,PAK,9.665
Palau,2020,PLW,0.826
Panama,2024,PAN,12.028
Papua New Guinea,2022,PNG,5.351
Paraguay,2017,PRY,5.928
Peru,2024,PER,6.138
Philippines,2023,PHL,4.551
Poland,2024,POL,3.422
Portugal,2024,PRT,7.345
Puerto Rico,2020,PRI,20.575
Qatar,2021,QAT,0.190
Romania,2024,ROU,4.401
Russian Federation,2024,RUS,2.723
Rwanda,2024,RWA,17.703
Samoa,2022,WSM,7.331
San Marino,2022,SMR,5.660
Sao Tome and Principe,2017,STP,7.191
Saudi Arabia,2024,SAU,4.066
Senegal,2024,SEN,18.361
Serbia,2024,SRB,7.614
Seychelles,2024,SYC,2.422
Sierra Leone,2018,SLE,5.325
Singapore,2024,SGP,3.333
Sint Maarten (Dutch part),2024,SXM,
Slovak Republic,2024,SVK,4.460
Slovenia,2024,SVN,4.102
Solomon Islands,2024,SLB,
Somalia,2019,SOM,14.701
South Africa,2024,ZAF,33.911
South Sudan,2024,SSD,
Spain,2024,ESP,12.270
Sri Lanka,2022,LKA,7.123
St. Kitts and Nevis,2024,KNA,
St. Lucia,2022,LCA,16.145
St. Martin (French part),2024,MAF,
St. Vincent and the Grenadines,2024,VCT,
Sudan,2022,SDN,11.608
Suriname,2016,SUR,5.377
Sweden,2024,SWE,6.352
Switzerland,2024,CHE,3.806
Syrian Arab Republic,2024,SYR,
Tajikistan,2024,TJK,
Tanzania,2020,TZA,5.031
Thailand,2024,THA,0.987
Timor-Leste,2022,TLS,3.091
Togo,2022,TGO,5.587
Tonga,2023,TON,2.877
Trinidad and Tobago,2023,TTO,3.577
Tunisia,2023,TUN,12.566
Turkiye,2024,TUR,10.408
Turkmenistan,2024,TKM,
Turks and Caicos Islands,2024,TCA,
Tuvalu,2022,TUV,9.212
Uganda,2021,UGA,5.532
Ukraine,2021,UKR,10.143
United Arab Emirates,2023,ARE,2.786
United Kingdom,2024,GBR,5.421
United States,2024,USA,5.442
Uruguay,2024,URY,8.258
Uzbekistan,2020,UZB,6.222
Vanuatu,2020,VUT,5.027
"Venezuela, RB",2017,VEN,5.744
Vietnam,2023,VNM,1.924
Virgin Islands (U.S.),2024,VIR,
West Bank and Gaza,2024,PSE,27.110
"Yemen, Rep.",2024,YEM,
Zambia,2023,ZMB,11.021
Zimbabwe,2023,ZWE,11.225